SampleName	HET	HOM	Farm	Strain	Stage	Sex
CHLY1M178977Cyclone	35378	18155	CH	LY	Stage1	M
CHLY1M280509Cyclone	35547	18153	CH	LY	Stage1	M
CHLY1M179793Cyclone	32112	19567	CH	LY	Stage1	M
CHLY1M280101Cyclone	34109	18190	CH	LY	Stage1	M
CHLY1M179997Cyclone	34804	18240	CH	LY	Stage1	M
CHLY1M280917Cyclone	34072	18186	CH	LY	Stage1	M
CHLY1M179589Cyclone	35414	17518	CH	LY	Stage1	M
CHLY1M281529Cyclone	34754	18139	CH	LY	Stage1	M
CHLY1M179181Cyclone	35117	17890	CH	LY	Stage1	M
CHLY1M281937Cyclone	35770	18421	CH	LY	Stage1	M
CHLY1M282345Cyclone	35077	18354	CH	LY	Stage1	M
CHLY1M282141Cyclone	34151	18733	CH	LY	Stage1	M
CHLY1M281325Cyclone	34042	18325	CH	LY	Stage1	M
CHLY1M281121Cyclone	34896	18515	CH	LY	Stage1	M
CHLY1M282549Cyclone	34183	18808	CH	LY	Stage1	M
CHLY1M283161Cyclone	34681	18373	CH	LY	Stage1	M
CHLY1M179385Cyclone	34217	18394	CH	LY	Stage1	M
CHLY1M282957Cyclone	33456	18433	CH	LY	Stage1	M
CHLY1M283365Cyclone	33916	18551	CH	LY	Stage1	M
CHLY2F385611Cyclone	37658	17565	CH	LY	Stage2	F
CHLY2F386019Cyclone	37471	17620	CH	LY	Stage2	F
CHLY2F386223Cyclone	37261	17452	CH	LY	Stage2	F
CHLY2F386631Cyclone	35036	17449	CH	LY	Stage2	F
CHLY2F386427Cyclone	35930	17729	CH	LY	Stage2	F
CHLY2F387651Cyclone	37599	17670	CH	LY	Stage2	F
CHLY2F388467Cyclone	35739	17578	CH	LY	Stage2	F
CHLY2F490203Cyclone	35921	17880	CH	LY	Stage2	F
CHLY2F388671Cyclone	33520	18802	CH	LY	Stage2	F
CHLY2F389283Cyclone	35634	17914	CH	LY	Stage2	F
CHLY2F387855Cyclone	35411	17746	CH	LY	Stage2	F
CHLY2F389079Cyclone	35584	17798	CH	LY	Stage2	F
CHLY2F490611Cyclone	33541	18289	CH	LY	Stage2	F
CHLY2F388263Cyclone	35277	18199	CH	LY	Stage2	F
CHLY2F386835Cyclone	33590	18052	CH	LY	Stage2	F
CHLY2F489895Cyclone	35894	17970	CH	LY	Stage2	F
CHLY2F388059Cyclone	36486	17394	CH	LY	Stage2	F
CHLY2F490407Cyclone	35318	18095	CH	LY	Stage2	F
CHLY2F489487Cyclone	36186	17895	CH	LY	Stage2	F
CHLY2F491427Cyclone	33494	18433	CH	LY	Stage2	F
